OBJECTID,CUSTOMER_I,POSTAL_ARE,FULL_POSTA,REC_TYPE,GEO_LEVEL,NT_CITY,COUNTY,STATE,DISPLAY_LI,ROUTING_LI,DISPLAY_LA,DISPLAY_LO,ROUTING_LA,ROUTING_LO,HOUSE_NUMB,BUILDING_N,STREET_NAM,TMO_STREET,HDB,NEAR_FID,NEAR_DIST,NEAR_X,NEAR_Y,is_outlier,Longitude,Latitude,Distance to Nearest POI (m),Distance to Nearest Street (m),Number of POIs within 500m,Distance to Area Centroid (m),z_score_outlier,iqr_outlier,dbscan_outlier,lof_outlier,cluster,Anomaly Score (%),Confidence in Classification,POI Classification,Reasons for Classification
113117,231939.0,,533981.0,S,9.0,SINGAPORE,SINGAPORE,,929887183.0,929887184.0,1.38048,103.87966,1.3806,103.8796,981C,,BUANGKOK CRES,BUANGKOK CRES,Y,5359,0.002838,103.8792,1.38341,True,103.8796,1.3806,0.00285,0.000564,2999,0.052244,False,True,False,True,5,45.00%,Medium,INCORRECT,Normal spatial pattern
47869,129179.0,,49560.0,S,8.0,SINGAPORE,SINGAPORE,,864116594.0,864116594.0,1.28298,103.84784,1.28313,103.84749,18,FAR EAST SQUARE,CHINA ST,CHINA ST,N,2887,0.00017,103.8475,1.28296,False,103.84749,1.28313,0.00017,8.1e-05,2999,0.05548,False,False,False,False,0,0.00%,Low,CORRECT,Normal spatial pattern
112593,184444.0,,467391.0,S,9.0,SINGAPORE,SINGAPORE,,926185843.0,116140126.0,1.32391,103.95204,1.32406,103.95212,21,EXCELSIOR GARDENS,MINARET WALK,MINARET WALK,N,5180,0.001853,103.9526,1.32585,False,103.95212,1.32406,0.000595,0.000892,2999,0.104607,False,False,False,False,0,0.00%,Low,CORRECT,Normal spatial pattern
118216,246379.0,,730724.0,S,9.0,SINGAPORE,SINGAPORE,,940487115.0,915032554.0,1.44475,103.79872,1.44515,103.79885,724,,WOODLANDS AVE 6,WOODLANDS AVE 6,Y,4927,0.000924,103.79901,1.44424,False,103.79885,1.44515,0.0021,0.00098,2999,0.117562,False,False,False,False,27,0.00%,Low,CORRECT,Normal spatial pattern
112662,249302.0,,829726.0,S,9.0,SINGAPORE,SINGAPORE,,926202285.0,926202285.0,1.41517,103.90349,1.4152,103.90352,213C,,PONGGOL SEVENTEENTH AVE,PONGGOL SEVENTEENTH AVE,N,5013,0.008436,103.9103,1.42022,True,103.90352,1.4152,0.002043,0.000559,2999,0.094295,False,False,True,True,-1,55.00%,Medium,INCORRECT,Spatial clustering outlier
7865,249538.0,,739823.0,S,8.0,SINGAPORE,SINGAPORE,,116134931.0,116134931.0,1.41558,103.75801,1.41541,103.75793,6,WOODLANDS PARK,JALAN DINDING,JALAN DINDING,N,1389,0.000798,103.7573,1.4159,False,103.75793,1.41541,0.000184,0.000277,2999,0.118776,False,False,False,False,22,0.00%,Low,CORRECT,Normal spatial pattern
40323,137904.0,,138895.0,S,8.0,SINGAPORE,SINGAPORE,,761933066.0,761933066.0,1.29849,103.79347,1.29845,103.79375,15,,WEYHILL CLOS,WEYHILL CLOS,N,2588,0.000367,103.7934,1.29834,False,103.79375,1.29845,0.001285,0.001291,2999,0.067917,False,False,False,False,0,0.00%,Low,CORRECT,Normal spatial pattern
5429,142971.0,,425036.0,S,8.0,SINGAPORE,SINGAPORE,,116133002.0,116133002.0,1.30869,103.90615,1.3089,103.90622,45,CHAPEL LODGE,LOR STANGEE,LOR STANGEE,N,261,0.00111,103.907,1.30811,False,103.90622,1.3089,0.000782,0.0,2999,0.064888,False,False,False,False,0,0.00%,Low,CORRECT,Normal spatial pattern
38671,225100.0,,568204.0,S,8.0,SINGAPORE,SINGAPORE,,753721105.0,753721105.0,1.37056,103.83286,1.37037,103.83289,27,SHANGRI LA PARK,SHANGRI-LA WALK,SHANGRI-LA WALK,N,5836,0.002442,103.83395,1.36817,False,103.83289,1.37037,0.00061,0.001739,2999,0.03541,False,False,False,False,5,0.00%,Low,CORRECT,Far from streets
121796,150429.0,,429360.0,S,0.0,SINGAPORE,SINGAPORE,,116162852.0,116162852.0,1.31234,103.89885,1.31237,103.89882,15A,,CRANE RD,CRANE RD,N,428,9.4e-05,103.8989,1.31242,False,103.89882,1.31237,0.000539,0.000876,2999,0.056721,False,False,False,False,0,0.00%,Low,CORRECT,Normal spatial pattern
